review,sentiment
marara disappointed cant consider bad movie development rushed nonbelievable evoke emotions dr fermn displays unprecedented bizarre behaviour passion cant understand born mean times conversation marara maybe marara appeared real character instead like film stereotype needed movie title needed best acting came role wasnt important story marcial subintelligent humble drunkard course scenery cultural tidbits canary islands wow moments interesting movie fell short documentary case real intention importantly solid drama,negative
serum crazy doctor finds serum supposed cure diseases power mind instead creates kind monster needs eat human flesh brains mad doc creates zombies cadavers problems long lead action scenes getting acquainted characters mad doctors nephew gets car accident mad doc tries use new serum boy results good class c film ok acting troubles directing continuity errors isnt zombie action effects adequate special fast forward slow parts enjoyment action scenes watch nudity bad language,negative
witty funny intelligent awesome flipping channels late night years ago came wildfire started staying late night taping know like 3 people 100 people watch didnt think awesome laughing loud hard crying thanking time favor run dont walk watch enjoy intelligence humor winwin situation wish afternoon tea meet truly rare comedian society need ofsanechaos,positive
unique film gives chance young noel coward ironic glory reserved detached hes perfect role unloved cad matteroffactly uses deadly pun intended act coward like flying dutchman hes comfortablebut way epigram peerless hecht macarthur given gems macarthur wit pairthe film superbly lighted great lee garmes little camera movement aside storm sequence hecht macarthutr cared thing getting dialogue screen note hm blinkandyoullmissem cameos bums flophouse scenethe notable supporting player alexander woolcott notorious broadway columnist close friend macarthur coward appears bitchy authors kept waiting reception room publisher cowardcurious woolcott agree film clearly lampoons legendary algonquin round table founder macarthur auxiliary memberthe scoundrel actually oscar best story victory probably cowards imposing presence brilliance plot coward woolcott dialogue remember,positive
definitely film excellent director alain chabat acting ceasar managed capture essence adventures astrix french comic books based create fantastically modern intelligent comedy homage world animated films movie funny jokes visual spoken screenings notice bursts laughter drawback nonfrench audience nonfrench speaking audience private jokes dialogues impossible translate situations directly related comic books french way life fun lessened totally worth seeing beautiful picture amazing stunts music totally crazy atmosphere excellent acting actors great film jamel debouze grard darmon edouard baer dont compare magnificent film terrible previous based comic books astrix et oblix contre csar directed claude zidi,positive
thought movie stunning completely outstanding performances valentina cervi artemisia gentileschicervi portrays artemisia beautifully tentative confidant mannerisms hands mapping idea moving models place passion artemisia gives art spectacular watchalthough character overtly beautiful film realistic facial hair clothing perfect point timeoverall thought film fantastic,positive
consider bit connoisseur boxing movies thing prevents calling gentleman jim best boxing movie robert wisepaul newman flick somebody likes movie number 1 gentleman jim close number 2the movie doesnt chronicle rise james j corbett shows sport boxing crucial time transition late 1800s boxing moving away brutal days bareknuckle rules gentlemanly days gloved marquis queensbury rules sport moving away days illegal spectacle time acceptance respectabilitygentleman jim realistic look days romanticized yes bit hokey times delightfully errol flynn perfect gentleman jim isnt gentleman merely fast talker working class family alexis smith ravishing upper class woman lovehate relationship know course love win match endat end gentleman jim great john l sullivan famous line lick man world courseromanticism hands belt corbett truly best scenes sports realistic wonderful hey want realism watch raging bull instead realistic boxing movie gentleman jim lot fun,positive
movie stapled wall chapel proof god truly dead saw sleptwalked film movie ive seen theater regret walking demanding money dull saw highlander 2 quickening local cinema beginning end gibson downey absolutely chemistry unlikelies cast circumstance eventually work best buddies action little goofy dull skullbone writer thank deity chortling observes cinema theres chance air america 2,negative
theres real plot speak excuse scenes extreme violence gratuitous sex fun case action happening inventive theres cool scene characters falling skyscraper miles high overall theres recommend kite watch want youre missing skip,negative
best film derek couple think recommendation havent seen usual ingredients poorly acted efforts watch bo disrobing auditioning wet tshirt contests frequently story laughably idiotic film takes seriously orang utans africabut things going bo looks great production values sets costumes etc good greatly enhances camp value strange way actually funny simply tries fails badly,negative
