review,sentiment
"What can you say about the film White Fire. Amazing? Fantastic? Disturbing? Hilarious? These words are not big enough to describe the event which is White Fire. From wobbly, garbled beginning to profound end, this movie will entertain throughout.<br /><br />Our movie begins in the woods of a country somewhere in the world. A family is hiding from unmarked soldiers in costume shop uniforms. When the father separates from the mother and their childen, you get a real sense of what kind of movie you're about to watch. Father makes sure to roll down hills in his all white outfit, and is polite as he gets people's attention before he shoots them, but alas, dad is burned alive in what looks like a very unsupervised, unsafe stunt. Meanwhile, mom and the kids are running down a beach with an armed soldier trailing about 5 feet behind them. He too gives a stern warning before action in the form of a bizarre ""HALT!"", and then promptly wastes the mother. This action sequence sets up the happy childhood of our heroes Bo and Ingred.<br /><br />So now we fast forward about 20 years (30 if you're honest about the hero's age) to beautiful Turkey, where Bo and Ingred have settled as professional thieves, or diamond prospectors, or something. Ingred works at a diamond mine where she helps herself to the goods, while Bo (masterfully played by the dynamic Robert Ginty) drives around the desert in his denim outfits. Bo and Ingrid have an interesting relationship. They don't seem to have any friends other than each other, and they spend all of their time together. That coupled with the fact that Bo has expressed his desire to sleep with his sister as evidenced in lines such as ""you know its a shame you're my sister"" he says to her while she's stark naked, make for a very dynamic duo. Bo is then crushed when Ingrid is killed, as he wanders the beaches of Turkey with his ceremonial pink grief scarf. A renewal of hope occurs when Bo finds a girl who looks like Ingrid, and gives her plastic surgery to make her look exactly like Ingrid. This opens the door for Bo to have sex with his sister without it being technically wrong. Bo is a real fan of ethical grey areas, and he is overjoyed with his new love.<br /><br />So anyway, there's a lot of fun action scenes, ridiculous violence, great acting, impossible to follow plot-lines, Fred ""the hammer"" Williamson (for some reason), and a big chunk of dirty ice which is supposed to be a giant diamond (which later explodes). All of these things are great, but the Bo and Ingrid relationship is what makes this movie special....really special. So I heartily encourage everyone to behold the majesty that is White Fire. You may be glad you did..or not.",positive
"I am so disappointed. This movie left me feeling jipped out of my time and mental energy. Here was the quintessential Woody Allen film all over again: the neurotic upper-class Manhattanites debating whether or not they will cheat on their spouses. Woody, I've seen these characters already, I've seen the storyline from you ten times already. Where did your creativity go??? You need to open your eyes and look around you. The world has changed dramatically since Annie Hall - and you need to change along with it.<br /><br />There are far more interesting and funny scenarios to which you can apply your brand of angst and neuroticism - why not try them out instead of rehashing the same old slop over and over and over again.<br /><br />When I hear that Woody Allen has a new project coming out, it does nothing for me - because now I've come to expect his old standby: the couple who are growing tired of each other and end up cheating. Depressing and same old, same old.<br /><br />If Woody wants to win his fans back, then he has to understand that our sense of humor and intelligence has to be stimulated - not insulted.",negative
"This movie is all ultra-lightweight fluff, predictable from beginning to end. As a Don Knotts vehicle, ""The Incredible Mr. Limpet"" was much better, with Knott's character there not nearly as incompetent or ignorant. His performance there was toned down, with none of his trademark goggle-eyed stare, although that may have something to do with him being replaced for most of the movie by a cartoon fish. Knotts made a living of playing the likable imbecile, much as Bob Denver did. Neither really seemed to be able to break out to other types of roles, assuming they were simply typecast. It was probably because of the slouch, the wild stare and the high-pitched voice. John Ritter, whom Knotts worked with in ""Three's Company,"" was able to transcend his genre, branching out successfully into dramatic roles like ""The Dreamer of Oz,"" but the closest Knotts ever got was a small role in ""Pleasantville."" Even Leslie Nielsen was a bad fit here, uncomfortably neither straight dramatic actor as he was at the time nor deadpan comedic actor as he later became in ""Airplane!"" and ""Police Squad.""<br /><br />There's also no way the then-43 year-old Knotts could pass for a 35 year-old, as his character insisted he was. It was as ludicrously unbelievable as Tom Hanks at 38 playing the college-age Forrest Gump.<br /><br />The film was clearly made on a shoestring budget, very much looking like a hastily-filmed TV episode. It's especially evident in the ""exterior"" scenes of the ""town"" where Roy goes after he's fired. It's unlikely even a pre-schooler would be fooled by the Mayberry-like soundstage artificiality.<br /><br />Even viewing this strictly as a children's movie, it's very disappointing. It's not because it lacks action or special effects, although it does. The pace is much too slow, the situations repetitive. How many times can you watch Roy getting onto a bus? A comedy for kids should at least sometimes be madcap, with breakneck gags, otherwise you risk boring them (and any adults in the theater as well). Movies, even kid's movies, have improved quite a bit in the intervening decades. Even many contemporary comedies were better filmed and written. Disney's ""The Love Bug,"" for instance, at least had some interesting race action.",negative
"If you are interested in learning more about this sort of thing happening in modern civilization, there is an excellent book called ""Outlaw Seas"" or ""The Outlaw Sea"", and it describes, in story after story, how these things do happen. The lawlessness of the high seas is a reality for a number of reasons. One, many of the world's freighters are of questionable registry (nationality) and it's difficult to impossible to enforce international laws when the ships owners don't have an office in a real country. Two, many ship lines employ crews from dirt poor third world countries. The crews are often (like illegal immigrant workers) threatened and bullied into complying with questionable or illegal practices. Three, there is often a language barrier, not only between the officers and the crew, but also between the crew members themselves. The crew are rewarded for their compliance and their silence. Four, once committing an illegal act, the ships are able to hide in plain sight with little more than a fresh coat of paint. Anyway, it's fascinating reading.<br /><br />Horrifying story, excellent movie. Does anyone else notice how HBO seems to make the best and most important movies? Hollywood has trouble releasing enough Oscar worthy movies in any given year, so that several of the top 5 contenders usually come from Britain. Jerry Bruckheimer = the end of quality cinema.<br /><br />I loved the thoroughly evil performance by Sean Pertwee. I also, as usual, loved Omar Epps.",positive
"Gamers: DR is not a fancy made movie, it's more like amateur video. Horrible magic effect, really fake fireball, terribly made dungeon, castle, village...... sword, axe, shield, robe, plate..... okok... everything. You will need about 10 minutes to adjust your expecting on visual, then you will get 105 minutes of fun.<br /><br />I'm from Hongkong and it's really hard to find RPers, none of my friends play RPG and I always fancy to be one of the character in the world of D&D. Watching Gamers: DR just show me what would it be like to be a gamer. You see rule books, dices, game set, etc etc etc; You hear terms like ""fighter"", ""wizard"", ""hit point"", ""level"", ""character"", ""flaming hand"", ""Chaotic Evil"".<br /><br />What RPG fancy me is that it let you do anything u want to, not bonded by software RPG. Gamers: DR provide the same element, you wont know what happen next and it probably just make you laugh to dead. The movie goes both gamers's real life as well as in the D&D world. You will hear the gamer cast the dice when the character in game take action, which make you feel you really participle in the game.<br /><br />I don't want to spoil anything, but in short, Gamers: DR is a must watch movie for RPG lovers. For people never play RPG game, I'm sure you still get many fun from it.",positive
"In all honesty, I haven't seen this film for many years, but the few times I have tend to make parts of it stick in my memory, as anyone who has seen it will understand. I first saw it as a child at a YMCA Halloween party in the early Sixties, and it scared the hell out of us kids, in a fun way. I remember feeling genuine anxiety about the unknown thing lurking in the maze. I can't risk giving away the ending, except to say that it was surprising, to say the least. I remember vaguely the entire audience of young boys letting out a big scared holler, followed by laughter when the terrible secret was revealed. The ending has been seen by most viewers as one of the greatest unintentionally funny climaxes to a movie in film history, and yet oddly moving, in a way. You have to see it for yourself, which is not easy these days. I don't know if it's available on home video or not, but it would still make a great Halloween feature for both kids and adults.",negative
"This is the only thing I will be able to look back on from the year 2006 and say now that rocked. It rocked hard, and yet it also rocked tasty. Mr.MEATLOAF added a nice little touch to this dish of a film before the opening credits even rolled. Now that tells you something, this filmed rocked even before it STARTED! Now I don't want to give to much away or be a ""spoiler"" but this movie ROCKED! If you have heard the new album and thought to yourself ""this seems a bit substandard Tenacious material,it is like I a merely playing badminton with Satan, what gives?"" Then this movie will elevate your appreciation for the music and you will marvel at this steamy satanic masterpiece. For those who would want it better do not know what they want,because better would no longer be the D. This movie is the D period.!So venture if you dare to the local viewing theater if you to want to have your socks rocked.",positive
"You'd think you're in for some serious sightseeing when the premise of the movie takes place primarily between two characters as they travel 3000 miles or so from France to Saudi Arabia, going through most of Europe - Italy, Bulgaria, Croatia, Slovenia, Turkey, before arriving in the Middle East. But this is not a tour, and there are no stopovers for soaking in the sights.<br /><br />Reda's father is in his twilight years, and wishes to do the Haj. However, since walking and taking the mule is out of the question, he chooses to travel to Mecca by car. He can't drive, and therefore enlists the help of Reda, to his son's protest, to get him there in their broken down vehicle.<br /><br />But Reda doesn't see the point of having him go along, when his dad could opt for the plane. He resents the idea of having put his personal life on hold for this pilgrimage he couldn't understand. And hence, we set off in this arduous journey with father and son, being not the best of pals.<br /><br />The beauty of this movie is to witness the development of the father and son pair, the challenges they face, the weird people they meet, having to duke it out in varied weather conditions, and alternating rest stops between motels and sleeping in the car. We see an obvious generation gap in them trying to communicate to each other, the father trying to impose on his son, and the son trying to assert himself as an adult, but circumstances we see, reveal that Reda is quite a fish out of water. Through the many encounters, they actually team up quite well despite their differences.<br /><br />It's perhaps quite apt to have this film released here last week to coincide with Hari Raya Haji, and having the opportunity to watch our protagonists join the other pilgrims in their Haj. The final scene in Mecca is truly a sight to behold, and you too would feel the claustrophobia and fear as Reda tries to hunt down his dad amongst the thousands of people congregating. The sights of Europe were perhaps deliberately not dwelled upon, so as to build up the anticipation of and focus on the final destination.<br /><br />It certainly rang home the thought of telling and showing loved ones how much you appreciate them for who they are. Don't miss this, and yes, book early - I was pleasantly surprised that this evening's session was still a full house.",positive
"I watched this movie based on the good reviews here, and I won't make that mistake again.<br /><br />The first couple minutes shows that a group of people have been brought together by some tragedy, but you don't see what it is. Flashback 12-hours and we get to see the boring lives of each of these people, which in the end are totally meaningless to what is about to happen. When the ending is finally reveled, you realize that you just wasted an hour of your life waiting for a big payoff that doesn't happen and means nothing to what you have been watching. The only connection these people have is that they have all had a ""bad day""--but even that continuity gets lost in the boredom.<br /><br />If this was supposed to be a ""Crash"" clone, it's a complete failure.",negative
"A great Bugs Bunny cartoon from the earlier years has Bugs as a performer in an window display at a local department store. After he's done for the day the manager comes in to tell him that he'll be transferring soon. Bugs is happy to oblige into he figures out that the new job is in taxidermy...and that taxidermy has to do with stuffing animals. Animals like say, a certain rabbit. This causes a battle of wits between the rascally rabbit and his now former employer. I found this short to be delightful and definitely one of the better ones of the early 1940's. It still remains as funny nearly 60+ years later. This animated short can be seen on Disc 1 of the Looney Tunes Golden Collection Volume 2.<br /><br />My Grade: A-",positive
"I firmly believe that the best Oscar ceremony in recent years was in 2003 for two reasons: <br /><br />1 ) Host Steve Martin was at his most wittiest: "" I saw the teamsters help Michael Moore into the trunk of his limo "" and "" I'll better not mention the gay mafia in case I wake up with a poodle's head in my bed "" <br /><br />2 ) Surprise winners: No one had Adrien Brody down for best actor ( Genuine applause ) or Roman Polanski for best director ( Genuine jeers and boos ) but they won <br /><br />Last year's award ceremony wasn't too bad but there was little in the way of surprises and I was happy to see RETURN OF THE KING sweep the awards even if it wasn't the best in the trilogy ( FELLOWSHIP was much better )but what let the BBC coverage down was Jonathan Ross getting a few of his sycophantic mates round and pretending they were hilarious when they were anything but . So when I heard Sky were doing the coverage for British TV I was expecting Barry Norman and Mark Kermode to be doing the links , but instead we ended up with Jamie Theakston and Sharon Osbourne ! Oh gawd if British TV are desperate for film critics ( Obviously they are ) I'm sure both Bob The Moo and Theo Robertson will happily fly over to LA to give their honest opinions on the winners and losers <br /><br />Chris Rock wasn't too bad , but he's no Steve Martin while the location seemed to resemble a sports hall with seats put in ! Not much of a glitzy arena in my opinion . The main problem I had with the ceremony was the format with the "" minor "" Oscars handed out to the winners who were sitting in their seats ! There's no such thing as a "" minor "" Oscar and just because the award is for Best Animated Short or Best Costume Design they're as well deserved as Best Picture or Best Director . All the winners should be allowed to march up to the podium . What a bunch of arrogant snobs the Academy are becoming and I quite agree with the comments that this format is disgraceful and if it wasn't for the surprises this could possibly have been the worst ceremony in history . As for the awards themselves <br /><br />Best Supporting Actress - Cate Blanchett . No great surprise for a competitive category <br /><br />Best Supporting Actor - Morgan Freeman . No real complaints since Freeman is one of America's greatest living character actors <br /><br />Best Actor - Jamie Foxx . Most predictable award of the night . Yawn <br /><br />Best Actress - Hilary Swank . Major surprise since everyone thought Annette Benning was going to win simply down to academy politics but Swank did deserve it and gave the best speech of the night <br /><br />Best Director - Clint Eastwood . Major surprise since everyone thought Scorsese was going to get the award simply because he'd never won one . Actually I'm glad about this because if he didn't deserve it for TAXI DRIVER , RAGING BULL or GOODFELLAS he didn't deserve it for THE AVIATOR <br /><br />Best Film - MILLION DOLLAR BABY . Again another major surprise since everyone thought the academy would split the awards for best director and best picture while I thought the Hollywood friendly plot of THE AVIATOR would have made it a dead cert for Best Picture while MDB's controversial subject matter would have turned a lot of voters off <br /><br />What these awards perhaps illustrate is that this year the voters have decided to ignore Oscar politics and genuinely give out awards to people who deserve it something they haven't done in the past , I mean A BEAUTIFUL MIND beating THE FELLOWSHIP OF THE RING for gawd's sake ! And long may the academy vote with their heads instead of their hearts",negative
"While in a plane, flicking through the large choice of movies, I came across Live! almost accidentally. oh boy! what a choice.<br /><br />I remembered vaguely seeing the trailer over a year ago and completely forgot about it expecting no more than another cheesy nonsense movie about a stupid reality show. Now I can easily say this has been a hell of a ride. I don't remember last time I have been so excited, terrified. Not sure if it was the high altitude playing with my senses, but the suspense grow gradually through the movie until reaching a climax where you can't turn away from the screen, literally sitting on the edge of your seat and biting the remaining nails you've got.<br /><br />You will first go through a personal moral assessment of where you stand about the righteousness of the show. You will drift from thinking ""how come the human being can be so vicious"" to ""why not after all?"".Ask yourself would you do it. Then learn about the contestants, their motives and start guessing. You will then watch contestant pulling the trigger one by one and get excited even though you know the first candidate is safe.<br /><br />Good acting, good directing, with a movie experience that reminds you those old movies where you knew what would happen in the next scene but still were craving for more.<br /><br />*Spoilers* couple of things i would have changed:<br /><br />- the casting of the contestants. i have really been moved by the farmer and we should have had a bit more like him. The idea of a rich writer who wants to be famous is a bit stupid, it felt like you didn't care about some of the contestants. Although this might have been done on purpose, i think the audience should have been able to associate with the majority of the contestants. - game rules, a big glitch :<br /><br />what happens if the 5th contestants doesn't die when he pulls the trigger. do you seriously think the last standing guy will pull the trigger and execute himself!!! they should have given a chance to all contestants to live, ie: if 5th is a blank too, then no one dies.<br /><br />interestingly I haven't been bothered too much by this bad points cause i really had a good time. just wish i had some popcorn with me!",positive
