Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
5000 TL,Genel Fiyat,Hayır,,60 M2,,21 Ve Üzeri,,50 M2,Konut,,,,1,20 Mayıs 2023,Çatı Katı,,Isıtma Yok,1+1,20 Mayıs 2023,,,"5,000TL",1,5,Kiralık,,Yok,Boş,13256871,,
,Birim Fiyat,Hayır,,100 M2,,21 Ve Üzeri,,90 M2,Konut,,,,,19 Mayıs 2023,5.Kat,,Kombi Doğalgaz,2+1,19 Mayıs 2023,1,,"8,000TL",1,5,Kiralık,,Var,Boş,13250195,,
8000 TL,Genel Fiyat,Hayır,,85 M2,,21 Ve Üzeri,,80 M2,Konut,,,,1,15 Mayıs 2023,5.Kat,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"8,000TL",1,5,Kiralık,,Var,Boş,13228052,,
,Genel Fiyat,Hayır,,60 M2,,0 (Yeni),,55 M2,Konut,,,,1,16 Mayıs 2023,Düz Giriş,Sıfır,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"13,500TL",1,4,Kiralık,,,Boş,13227521,,
20000 TL,Genel Fiyat,Hayır,Eşyalı,75 M2,200 TL,10-May,Yok,60 M2,Konut,"Açık Teras, Kapalı Teras",Betonarme,,1,21 Mayıs 2023,Çatı Katı,İkinci El,Kombi Doğalgaz,2+1,15 Mayıs 2023,2,Evet,"13,750TLarrow_downward%5",1,4,Kiralık,,Var,Boş,13227102,,
20000 TL,Birim Fiyat,Hayır,,140 M2,100 TL,10-May,,130 M2,Konut,Açık Balkon,Betonarme,,1,15 Mayıs 2023,Düz Giriş,İkinci El,Kombi Doğalgaz,3+1,13 Nisan 2023,1,Hayır,"13,000TL",1,5,Kiralık,40 M2,Var,Boş,13059378,,
24000 TL,Genel Fiyat,Hayır,,65 M2,,10-May,,60 M2,Konut,,,,,21 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,1+1,21 Mayıs 2023,,,"12,000TL",1,5,Kiralık,,,Boş,13262523,,
12700 TL,Genel Fiyat,Hayır,Boş,145 M2,,15-Nov,,115 M2,Konut,,Betonarme,,,21 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,4+1,21 Mayıs 2023,2,Hayır,"12,700TL",2,6,Kiralık,,Var,Boş,13261543,,
,Genel Fiyat,Hayır,Boş,75 M2,,21 Ve Üzeri,Yok,70 M2,Konut,,,,,21 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,21 Mayıs 2023,,,"8,500TL",1,4,Kiralık,,,Boş,13261044,,
8000 TL,Genel Fiyat,Hayır,Boş,140 M2,80 TL,21 Ve Üzeri,Yok,130 M2,Konut,Açık Balkon,,,2,21 Mayıs 2023,5.Kat,İkinci El,Kombi Doğalgaz,3+1,21 Mayıs 2023,2,,"8,000TL",1,6,Kiralık,,Var,Boş,13260860,,
